Base Level 1 Values. 
Name (Aggro if red)	Image	Attack Type	Element	Attack Type	VIT	SPD	ATK	INT	DEF	M-DEF	LUK	MOV	Common Drop	Uncommon Drop	Rare Drop	EXP Gained	Gold Earned	Base Capture Rate	Respawn Timer
Green Slime	Green Slime Thumb	Physical	Grass	Physical	3	5	4	0	2	3	2	8	Green Fragment (50.00%)	Verdant Leaf (5.00%)	Elderleaf Tablet (0.50%)	38	80	3.000%	
Red Goblin	Red Goblin Thumb	Physical	Fire	Physical	4	5	6	0	2	2	1	13	Red Fragment (50.00%)	Crimson Leaf (5.00%)		40	55	3.000%	
Goblin Mage	Goblin Mage Thumb	Magic	Fire	Magic	3	3	0	6	4	3	3	6	Red Fragment (50.00%)	Crimson Leaf (5.00%)		44	95	3.000%	
Creature Rose	Creature Rose Thumb	Physical	Grass	Physical	20	2	6	0	1	1	3	0	Eld Seed (50.00%)	Verdant Leaf (5.00%)		66	190	3.000%	
Chimera Turtle	Chimera Turtle Thumb	Physical	Water	Physical	8	3	5	1	11	3	3	5	Blue Fragment (50.00%)	Azure Leaf (5.00%)	Water Ammonite (0.50%)	68	75	3.000%	
Iron Trap Bloom	Iron Trap Bloom Thumb	Magic	Grass	Magic	15	6	0	14	4	15	3	0	Green Fragment (50.00%)	Verdant Leaf (5.00%)	Skull Marker (0.50%)	114	220	2.000%	
Penguin Soldier	Penguin Soldier Thumb	Physical	Water	Physical	7	7	12	0	8	1	7	12	Blue Fragment (50.00%)	Snowflake (5.00%)		84	130	2.000%	
Winged Slime	Winged Slime Thumb	Physical	Water	Physical	35	9	15	2	17	23	18	9	Slime Stone (50.00%)			2,380	300	3.000%	
Boss Goblin	Boss Goblin Thumb	Physical	Grass	Physical	18	7	14	0	5	8	6	17	Boss Goblin Horn (100.00%)	Rune Tablet (10.00%)		580	200	1.000%	3 Min
Gigant Oak	Gigant Oak Thumb	Physical	Fire	Physical	69	18	59	0	29	22	11	5	Gigant Oak Eye (100.00%)	Rune Tablet (10.00%)		2,080	700	1.000%	3 Min
Ancient Fish Zakorn	Ancient Fish Zakorn Thumb	Physical	Water	Physical	155	144	71	0	111	61	77	28	Ancient Fish Bone (100.00%)	Rune Tablet (10.00%)		190	8,900	0.100%	30 Min
Forbidden Lamia	Forbidden Lamia Thumb	Magic	Water	Magic	75	45	25	85	45	165	75	9	Forbidden Cube (10.00%)			10,300	3,000	0.100%	30 Min
Mad Frog	Mad Frog Thumb	Physical	Grass	Physical	12	9	7	1	3	2	5	9	Eld Seed (50.00%)	Green Fragment (5.00%)	Golden Eld Seed (0.50%)	78	110	3.000%	
Dark Mage	Dark Mage Thumb	Magic	Dark	Magic	14	8	0	15	5	14	3	8	Dark Fragment (50.00%)	Shadow Grass (5.00%)	Dark Slate (0.50%)	118	180	3.000%	
Anteater Lord	Anteater Lord Thumb	Physical	Grass	Physical	15	11	12	3	9	4	4	11	Green Fragment (50.00%)	Logwood (5.00%)		116	150	3.000%	
Primitive Butterfly	Primitive Butterfly Thumb	Physical	Grass	Physical	11	20	9	7	2	9	3	20	Green Fragment (50.00%)	Verdant Leaf (5.00%)		122	260	1.000%	
Walking Grave	Walking Grave Thumb	Physical	Dark	Physical	22	8	13	0	19	1	0	5	Dark Fragment (50.00%)	Void Stone (5.00%)		252	700	2.000%	
Orthros	Orthros Thumb	Physical	Water	Physical	14	17	15	0	7	5	6	16	Blue Fragment (50.00%)	Azure Leaf (5.00%)	Water Ammonite (0.50%)	128	160	3.000%	
Snowdarman	Snowdarman Thumb	Physical	Water	Physical	27	15	11	4	13	13	11	0	Blue Fragment (50.00%)	Azure Leaf (5.00%)	Gold Dust (0.50%)	282	210	3.000%	
Deer Fighter	Deer Fighter Thumb	Physical	Water	Physical	33	13	17	0	10	2	10	16	Blue Fragment (50.00%)	Azure Leaf (5.00%)		170	250	2.000%	
Penguin Lord	Penguin Lord Thumb	Physical	Water	Physical	38	17	22	3	15	20	15	13	Blue Fragment (50.00%)	Snowflake (5.00%)		260	400	2.000%	
Panda	Panda Thumb	Magic	Grass	Magic	31	20	1	29	18	17	29	21	Circle Emerald (50.00%)			3,100	410	3.000%	
Phantom Tree	Phantom Tree Thumb	Magic	Grass	Magic	65	16	2	27	18	28	17	11	Phantom Tree Core (100.00%)	Rune Tablet (10.00%)		1,730	2,000	1.000%	3 Min
Snow Mokera	Snow Mokera Thumb	Physical	Water	Physical	135	7	47	11	11	31	9	9	Mokera Hide (100.00%)	Rune Tablet (10.00%)		2,510	1,100	1.000%	3 Min
The One of Zero	The One of Zero Thumb	Magic	Water	Magic	130	21	0	158	88	188	45	17	Frozen Score (100.00%)	Rune Tablet (10.00%)		6,300	9,500	0.100%	30 Min
Forbidden Treant	Forbidden Treant Thumb	Magic	Grass	Magic	200	5	25	135	100	100	100	0	Forbidden Lock (10.00%)			13,300	4,500	0.100%	30 Min
Goblin Assault Unit	Goblin Assault Unit Thumb	Physical	Fire	Physical	31	25	31	3	2	3	9	20	Red Fragment (50.00%)	Crimson Leaf (5.00%)		208	220	3.000%	
Goblin Crew	Goblin Crew Thumb	Magic	Fire	Magic	40	16	3	22	13	23	18	13	Eld Seed (50.00%)	Crimson Leaf (5.00%)	Gold Dust (0.50%)	270	550	4.000%	
Crimson Scorpion	Crimson Scorpion Thumb	Physical	Fire	Physical	3	15	19	3	45	5	20	14	Red Fragment (50.00%)	Flame Shroom (5.00%)		220	190	3.000%	
Death Warrior Mummy	Death Warrior Mummy Thumb	Physical	Dark	Physical	26	15	21	8	17	17	14	9	Dark Fragment (50.00%)	Shadow Grass (5.00%)	Nether Hand (0.50%)	236	266	4.000%	
Anubis	Anubis Thumb	Physical	Light	Physical	30	19	28	10	8	28	28	30	Light Fragment (50.00%)	Volt Grass (5.00%)		612	400	3.000%	
Fire Mage	Fire Mage Thumb	Magic	Fire	Magic	28	13	5	30	16	19	24	13	Red Fragment (50.00%)	Flame Shroom (5.00%)		270	290	3.000%	
Egypt Ashura	Egypt Ashura Thumb	Physical	Light	Physical	44	16	38	3	16	9	30	18	Light Fragment (50.00%)	Volt Grass (5.00%)	Rune Element (0.50%)	312	90	3.000%	
Desert Doggo	Desert Doggo Thumb	Physical	Light	Physical	55	20	21	9	21	17	47	16	Light Fragment (50.00%)	Gold Dust (5.00%)		380	510	2.000%	
Mysterious Jar	Mysterious Jar Thumb	Physical	Grass	Physical	155	5	5	5	30	50	42	0	Green Crystal (50.00%)	Elderleaf Tablet (5.00%)		584	1,900	1.000%	
Tengu	Tengu Thumb	Magic	Dark	Magic	56	33	4	44	31	36	35	23	Dark Life Stone (50.00%)			4,780	3,333	3.000%	
Lamp Spirit	Lamp Spirit Thumb	Magic	Light	Magic	84	19	13	81	29	39	26	15	Desert Powder (100.00%)	Rune Tablet (10.00%)		2,910	5,555	1.000%	3 Min
Dark Dragon	Dark Dragon Thumb	Magic	Dark	Magic	128	17	6	66	31	81	38	15	Black Dragon Wing (100.00%)	Rune Tablet (10.00%)		3,670	4,000	1.000%	3 Min
The Devoted One	The Devoted One Thumb	Physical	Light	Physical	111	25	79	29	59	69	99	18	Fallen Sword Hilt (100.00%)	Rune Tablet (10.00%)		4,710	8,500	1.000%	3 Min
Dawn God Tomodachi	Dawn God Tomodachi Thumb	Magic	Light	Magic	180	26	40	159	74	115	77	21	Perfect Score Flower (100.00%)	Rune Tablet (10.00%)		6,710	36,000	0.100%	30 Min
Forbidden Anubish	Forbidden Anubish Thumb	Magic	Light	Magic	75	80	5	75	75	105	290	18	Forbidden Fluid (10.00%)			14,100	2,000	0.100%	30 Min
Resident A	Resident A Thumb	Physical	Dark	Physical	45	17	39	3	30	17	12	16	Dark Fragment (50.00%)	Shadow Grass (5.00%)	Dark Slate (0.50%)	326	800	2.000%	
